reference_id,priority,title,citation_as_in_current_draft,doi,official_url_checked,metadata_check_scope,pdf_in_package,canonical_or_original_source,pdf_status,code_url_checked,code_check_scope,historical_code_record,coauthor_verdict,page_section_support,proposed_correction
11,P2,Joint Task Offloading and Channel Allocation in Spatial-Temporal Dynamic for MEC Networks,"T. Shi, T. Zhang, J. Loo, R. Huang, and Y. Wang, ""Joint Task Offloading and Channel Allocation in Spatial-Temporal Dynamic for MEC Networks,"" *IEEE Transactions on Industrial Informatics*, Vol. 21, No. 8, pp. 6240–6250, 2025, doi: 10.1109/TII.2025.3563531.",10.1109/TII.2025.3563531,,inherited bibliography; not externally rechecked this session,02_references/papers/R11.pdf,research_files/joint-task-offloading-channel-allocation-spatial-temporal-mec/joint-task-offloading-channel-allocation-spatial-temporal-mec_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,없음 — 2026-07-20 공개 검색에서 저자 공식 저장소를 확인하지 못함.,PENDING,,
12,P2,Toward Decentralized Task Offloading and Resource Allocation in User-Centric MEC,"L. Qin, H. Lu, Y. Chen, B. Chong, and F. Wu, ""Toward Decentralized Task Offloading and Resource Allocation in User-Centric MEC,"" *IEEE Transactions on Mobile Computing*, Vol. 23, No. 12, pp. 11807–11823, Dec. 2024, doi: 10.1109/TMC.2024.3399766.",10.1109/TMC.2024.3399766,,inherited bibliography; not externally rechecked this session,02_references/papers/R12.pdf,research_files/decentralized-task-offloading-resource-allocation-ucmec/decentralized-task-offloading-resource-allocation-ucmec_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,없음 — 2026-07-20 공개 검색에서 저자 공식 저장소를 확인하지 못함.,PENDING,,
13,P2,Joint Task Offloading and Resource Allocation for Multi-Server Mobile-Edge Computing Networks,"T.X. Tran and D. Pompili, ""Joint Task Offloading and Resource Allocation for Multi-Server Mobile-Edge Computing Networks,"" *IEEE Transactions on Vehicular Technology*, Vol. 68, No. 1, pp. 856–868, Jan. 2019, doi: 10.1109/TVT.2018.2881191.",10.1109/TVT.2018.2881191,,inherited bibliography; not externally rechecked this session,02_references/papers/R13.pdf,research_files/joint-task-offloading-resource-allocation-multi-server-mec/jtora-joint-task-offloading-resource-allocation-multi-server-mec_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,없음 — 2026-07-20 공개 검색에서 저자 공식 저장소를 확인하지 못함.,PENDING,,
14,P2,Energy-Aware Multi-Server Mobile Edge Computing: A Deep Reinforcement Learning Approach,"N. Naderializadeh and M. Hashemi, ""Energy-Aware Multi-Server Mobile Edge Computing: A Deep Reinforcement Learning Approach,"" in *Proceedings of the 53rd Asilomar Conference on Signals, Systems, and Computers*, Pacific Grove, CA, USA, 2019, pp. 383–387, doi: 10.1109/IEEECONF44664.2019.9049050.",10.1109/IEEECONF44664.2019.9049050,,inherited bibliography; not externally rechecked this session,02_references/papers/R14.pdf,research_files/energy-aware-multi-server-mobile-edge-computing/energy-aware-multi-server-mobile-edge-computing_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,없음 — 2026-07-20 공개 검색에서 저자 공식 저장소를 확인하지 못함.,PENDING,,
15,P2,Human-Level Control through Deep Reinforcement Learning,"V. Mnih, K. Kavukcuoglu, D. Silver, A.A. Rusu, J. Veness, M.G. Bellemare, et al., ""Human-Level Control through Deep Reinforcement Learning,"" *Nature*, Vol. 518, No. 7540, pp. 529–533, Feb. 2015, doi: 10.1038/nature14236.",10.1038/nature14236,,inherited bibliography; not externally rechecked this session,02_references/papers/R15.pdf,research_files/human-level-control-deep-reinforcement-learning/human-level-dqn-human-level-control-deep-reinforcement-learning_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,공개 역사적 DQN 3.0 코드 미러(공개 접근 재확인: 2026-07-20) — https://github.com/kuangliu/DQN (공식 유지보수 저장소 여부는 미확인),PENDING,,
16,P1,Deep Reinforcement Learning with Double Q-Learning,"H. van Hasselt, A. Guez, and D. Silver, ""Deep Reinforcement Learning with Double Q-Learning,"" in *Proceedings of the AAAI Conference on Artificial Intelligence*, Vol. 30, No. 1, pp. 2094–2100, 2016, doi: 10.1609/aaai.v30i1.10295.",10.1609/aaai.v30i1.10295,,inherited bibliography; not externally rechecked this session,02_references/papers/R16.pdf,research_files/deep-reinforcement-learning-double-q-learning/double-dqn-deep-reinforcement-learning-double-q-learning_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,제3자 공개 재현(공개 접근 재확인: 2026-07-20) — https://github.com/jihoonerd/Deep-Reinforcement-Learning-with-Double-Q-learning (저자 공식 저장소 미확인),PENDING,,
17,P1,Dueling Network Architectures for Deep Reinforcement Learning,"Z. Wang, T. Schaul, M. Hessel, H. van Hasselt, M. Lanctot, N. de Freitas, et al., ""Dueling Network Architectures for Deep Reinforcement Learning,"" in *Proceedings of the 33rd International Conference on Machine Learning*, New York, NY, USA, Vol. 48, pp. 1995–2003, 2016.",,https://proceedings.mlr.press/v48/wangf16.html,official proceedings title/six authors/pages/year checked,02_references/papers/R17.pdf,research_files/dueling-network-architectures-deep-reinforcement-learning/dueling-dqn-dueling-network-architectures-deep-reinforcement-learning_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,제3자 공개 재현(공개 접근 재확인: 2026-07-20) — https://github.com/hemilpanchiwala/Dueling_Network_Architectures (저자 공식 저장소 미확인),PENDING,,
18,P1,Long Short-Term Memory,"S. Hochreiter and J. Schmidhuber, ""Long Short-Term Memory,"" *Neural Computation*, Vol. 9, No. 8, pp. 1735–1780, 1997, doi: 10.1162/neco.1997.9.8.1735.",10.1162/neco.1997.9.8.1735,,inherited bibliography; not externally rechecked this session,02_references/papers/R18.pdf,research_files/long-short-term-memory/long-short-term-memory_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,없음 — 2026-07-20 공개 검색에서 원 논문의 저자 공개 저장소를 확인하지 못함.,PENDING,,
19,P2,A Task Offloading and Resource Allocation Strategy Based on Multi-Agent Reinforcement Learning in Mobile Edge Computing,"G. Jiang, R. Huang, Z. Bao, and G. Wang, ""A Task Offloading and Resource Allocation Strategy Based on Multi-Agent Reinforcement Learning in Mobile Edge Computing,"" *Future Internet*, Vol. 16, No. 9, Article 333, 2024, doi: 10.3390/fi16090333.",10.3390/fi16090333,,inherited bibliography; not externally rechecked this session,02_references/papers/R19.pdf,research_files/tomac-ppo-task-offloading-marl/tomac-ppo-task-offloading-marl_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
20,P2,Cell-Free Massive MIMO Versus Small Cells,"H.Q. Ngo, A. Ashikhmin, H. Yang, E.G. Larsson, and T.L. Marzetta, ""Cell-Free Massive MIMO Versus Small Cells,"" *IEEE Transactions on Wireless Communications*, Vol. 16, No. 3, pp. 1834–1850, Mar. 2017, doi: 10.1109/TWC.2017.2655515.",10.1109/TWC.2017.2655515,,inherited bibliography; not externally rechecked this session,02_references/papers/R20.pdf,research_files/cell-free-massive-mimo-versus-small-cells/cell-free-massive-mimo-versus-small-cells_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
21,P2,Cell-Free Massive MIMO: User-Centric Approach,"S. Buzzi and C. D'Andrea, ""Cell-Free Massive MIMO: User-Centric Approach,"" *IEEE Wireless Communications Letters*, Vol. 6, No. 6, pp. 706–709, Dec. 2017, doi: 10.1109/LWC.2017.2734893.",10.1109/LWC.2017.2734893,,inherited bibliography; not externally rechecked this session,,,not found in mapped local sources; obtain from official publisher/library,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
22,P2,"User-Centric Cell-Free Massive MIMO Networks: A Survey of Opportunities, Challenges and Solutions","H.A. Ammar, R. Adve, S. Shahbazpanahi, G. Boudreau, and K.V. Srinivas, ""User-Centric Cell-Free Massive MIMO Networks: A Survey of Opportunities, Challenges and Solutions,"" *IEEE Communications Surveys & Tutorials*, Vol. 24, No. 1, pp. 611–652, 2022, doi: 10.1109/COMST.2021.3135119.",10.1109/COMST.2021.3135119,,inherited bibliography; not externally rechecked this session,02_references/papers/R22.pdf,research_files/user-centric-cell-free-massive-mimo-survey/user-centric-cell-free-massive-mimo-survey_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
23,P1,Policy Invariance Under Reward Transformations: Theory and Application to Reward Shaping,"A.Y. Ng, D. Harada, and S. Russell, ""Policy Invariance Under Reward Transformations: Theory and Application to Reward Shaping,"" in *Proceedings of the Sixteenth International Conference on Machine Learning*, Bled, Slovenia, 1999, pp. 278–287.",,,inherited bibliography; not externally rechecked this session,02_references/papers/R23.pdf,research_files/policy-invariance-reward-transformations-shaping/policy-invariance-reward-transformations-shaping_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
24,P1,A Closer Look at Invalid Action Masking in Policy Gradient Algorithms,"S. Huang and S. Ontañón, ""A Closer Look at Invalid Action Masking in Policy Gradient Algorithms,"" in *The International FLAIRS Conference Proceedings*, Vol. 35, 2022, doi: 10.32473/flairs.v35i.130584.",10.32473/flairs.v35i.130584,,inherited bibliography; not externally rechecked this session,02_references/papers/R24.pdf,research_files/invalid-action-masking-policy-gradient/invalid-action-masking-policy-gradient_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
25,P1,Safe Reinforcement Learning via Shielding,"M. Alshiekh, R. Bloem, R. Ehlers, B. Könighofer, S. Niekum, and U. Topcu, ""Safe Reinforcement Learning via Shielding,"" in *Proceedings of the AAAI Conference on Artificial Intelligence*, Vol. 32, No. 1, 2018, doi: 10.1609/aaai.v32i1.11797.",10.1609/aaai.v32i1.11797,,inherited bibliography; not externally rechecked this session,02_references/papers/R25.pdf,research_files/safe-reinforcement-learning-via-shielding/safe-reinforcement-learning-via-shielding_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
26,P2,A Comprehensive Survey on Safe Reinforcement Learning,"J. García and F. Fernández, ""A Comprehensive Survey on Safe Reinforcement Learning,"" *Journal of Machine Learning Research*, Vol. 16, No. 42, pp. 1437–1480, 2015.",,,inherited bibliography; not externally rechecked this session,02_references/papers/R26.pdf,research_files/comprehensive-survey-safe-reinforcement-learning/comprehensive-survey-safe-reinforcement-learning_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
27,P2,A Survey of Safe Reinforcement Learning and Constrained MDPs: A Technical Survey on Single-Agent and Multi-Agent Safety,"A. Kushwaha, K. Ravish, P. Lamba, and P. Kumar, ""A Survey of Safe Reinforcement Learning and Constrained MDPs: A Technical Survey on Single-Agent and Multi-Agent Safety,"" arXiv preprint, 2025, doi: 10.48550/arXiv.2505.17342.",10.48550/arXiv.2505.17342,,inherited bibliography; not externally rechecked this session,02_references/papers/R27.pdf,research_files/survey-safe-rl-constrained-mdps/survey-safe-rl-constrained-mdps_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
28,P2,QoE-Driven Multi-Task Offloading for Semantic-Aware Edge Computing Systems,"X. Chen, D. Feng, W. Jiang, Q. Luo, G. Chen, and Y. Sun, ""QoE-Driven Multi-Task Offloading for Semantic-Aware Edge Computing Systems,"" arXiv preprint, 2024, doi: 10.48550/arXiv.2407.11018.",10.48550/arXiv.2407.11018,,inherited bibliography; not externally rechecked this session,02_references/papers/R28.pdf,research_files/qoe-driven-multi-task-offloading-semantic/qoe-driven-multi-task-offloading-semantic_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
29,P1,Deep Reinforcement Learning That Matters,"P. Henderson, R. Islam, P. Bachman, J. Pineau, D. Precup, and D. Meger, ""Deep Reinforcement Learning That Matters,"" in *Proceedings of the AAAI Conference on Artificial Intelligence*, Vol. 32, No. 1, 2018, doi: 10.1609/aaai.v32i1.11694.",10.1609/aaai.v32i1.11694,https://ojs.aaai.org/index.php/AAAI/article/view/11694,official proceedings page checked,02_references/papers/R29.pdf,research_files/deep-reinforcement-learning-that-matters/deep-reinforcement-learning-that-matters_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
30,P1,How Many Random Seeds? Statistical Power Analysis in Deep Reinforcement Learning Experiments,"C. Colas, O. Sigaud, and P.-Y. Oudeyer, ""How Many Random Seeds? Statistical Power Analysis in Deep Reinforcement Learning Experiments,"" arXiv preprint, 2018, doi: 10.48550/arXiv.1806.08295.",10.48550/arXiv.1806.08295,https://arxiv.org/abs/1806.08295,official preprint title/authors checked; do not treat as journal DOI,02_references/papers/R30.pdf,research_files/how-many-random-seeds-drl/how-many-random-seeds-drl_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
31,P1,Deep Reinforcement Learning at the Edge of the Statistical Precipice,"R. Agarwal, M. Schwarzer, P.S. Castro, A. Courville, and M.G. Bellemare, ""Deep Reinforcement Learning at the Edge of the Statistical Precipice,"" in *Advances in Neural Information Processing Systems*, Vol. 34, 2021, doi: 10.48550/arXiv.2108.13264.",10.48550/arXiv.2108.13264,https://proceedings.neurips.cc/paper/2021/hash/f514cec81cb148559cf475e7426eed5e-Abstract.html,official proceedings page and author rliable repository checked,02_references/papers/R31.pdf,research_files/drl-statistical-precipice/drl-statistical-precipice_원문.pdf,included; edition/content validation assigned to coauthor,https://github.com/google-research/rliable,author public evaluation repository verified 2026-09-06,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
32,P2,AdaStop: Sequential Testing for Efficient and Reliable Comparisons of Deep RL Agents,"T. Mathieu, R. Della Vecchia, A. Shilova, M.M. Centa, H. Kohler, O.-A. Maillard, and P. Preux, ""AdaStop: Sequential Testing for Efficient and Reliable Comparisons of Deep RL Agents,"" *Transactions on Machine Learning Research*, 2024, doi: 10.48550/arXiv.2306.10882.",10.48550/arXiv.2306.10882,,inherited bibliography; not externally rechecked this session,02_references/papers/R32.pdf,research_files/adastop-sequential-testing-deep-rl/adastop-sequential-testing-deep-rl_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
33,P2,Hierarchical Deep Reinforcement Learning for Joint Service Caching and Computation Offloading in Mobile Edge-Cloud Computing,"C. Sun, X. Li, C. Wang, Q. He, X. Wang, and V. Leung, ""Hierarchical Deep Reinforcement Learning for Joint Service Caching and Computation Offloading in Mobile Edge-Cloud Computing,"" *IEEE Transactions on Services Computing*, Vol. 17, No. 4, pp. 1548–1564, 2024, doi: 10.1109/TSC.2024.3355937.",10.1109/TSC.2024.3355937,,inherited bibliography; not externally rechecked this session,,,not found in mapped local sources; obtain from official publisher/library,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
34,P2,User-centric AP Clustering with Deep Reinforcement Learning for Cell-Free Massive MIMO,"Y. Tsukamoto, A. Ikami, N. Aihara, T. Murakami, H. Shinbo, and Y. Amano, ""User-centric AP Clustering with Deep Reinforcement Learning for Cell-Free Massive MIMO,"" in *Proceedings of the International ACM Symposium on Mobility Management and Wireless Access (MobiWac)*, pp. 17–24, 2023, doi: 10.1145/3616390.3618291.",10.1145/3616390.3618291,,inherited bibliography; not externally rechecked this session,,,not found in mapped local sources; obtain from official publisher/library,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
35,P2,A Deep Learning Approach for User-Centric Clustering in Cell-Free Massive MIMO Systems,"G. Di Gennaro, A. Buonanno, G. Romano, S. Buzzi, and F.A.N. Palmieri, ""A Deep Learning Approach for User-Centric Clustering in Cell-Free Massive MIMO Systems,"" in *Proceedings of the IEEE 25th International Workshop on Signal Processing Advances in Wireless Communications (SPAWC)*, pp. 661–665, 2024, doi: 10.1109/SPAWC60668.2024.10694529.",10.1109/SPAWC60668.2024.10694529,,inherited bibliography; not externally rechecked this session,02_references/papers/R35.pdf,research_files/deep-learning-user-centric-clustering-cf-mimo/deep-learning-user-centric-clustering-cf-mimo_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
36,P2,Offloading Strategy Based on Graph Neural Reinforcement Learning in Mobile Edge Computing,"T. Wang, X. Ouyang, D. Sun, Y. Chen, and H. Li, ""Offloading Strategy Based on Graph Neural Reinforcement Learning in Mobile Edge Computing,"" *Electronics*, Vol. 13, No. 12, Article 2387, 2024, doi: 10.3390/electronics13122387.",10.3390/electronics13122387,,inherited bibliography; not externally rechecked this session,02_references/papers/R36.pdf,research_files/graph-neural-rl-offloading-mec/graph-neural-rl-offloading-mec_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
37,P2,Graph Neural Network-Based Task Offloading and Resource Allocation for Scalable Vehicular Networks,"M. Shao, R. Zhang, and L. Yang, ""Graph Neural Network-Based Task Offloading and Resource Allocation for Scalable Vehicular Networks,"" *IET Communications*, Vol. 19, No. 1, 2025, doi: 10.1049/cmu2.70064.",10.1049/cmu2.70064,,inherited bibliography; not externally rechecked this session,02_references/papers/R37.pdf,research_files/gnn-task-offloading-scalable-vehicular/gnn-task-offloading-scalable-vehicular_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
38,P2,Task Graph Offloading via Deep Reinforcement Learning in Mobile Edge Computing,"J. Liu, Y. Mi, X. Zhang, and X. Li, ""Task Graph Offloading via Deep Reinforcement Learning in Mobile Edge Computing,"" arXiv preprint, 2023, doi: 10.48550/arXiv.2309.10569.",10.48550/arXiv.2309.10569,,inherited bibliography; not externally rechecked this session,02_references/papers/R38.pdf,research_files/task-graph-offloading-drl-mec/task-graph-offloading-drl-mec_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
39,P2,CHESTNUT: A QoS Dataset for Mobile Edge Environments,"G. Zou, F. Zhao, and S. Hu, ""CHESTNUT: A QoS Dataset for Mobile Edge Environments,"" arXiv preprint, 2024, doi: 10.48550/arXiv.2410.19248.",10.48550/arXiv.2410.19248,,inherited bibliography; not externally rechecked this session,02_references/papers/R39.pdf,research_files/chestnut-qos-dataset-mobile-edge/chestnut-qos-dataset-mobile-edge_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
40,P1,Fast Adaptive Task Offloading in Edge Computing Based on Meta Reinforcement Learning,"J. Wang, J. Hu, G. Min, A.Y. Zomaya, and N. Georgalas, ""Fast Adaptive Task Offloading in Edge Computing Based on Meta Reinforcement Learning,"" *IEEE Transactions on Parallel and Distributed Systems*, Vol. 32, No. 1, pp. 242–253, 2021, doi: 10.1109/TPDS.2020.3014896.",10.1109/TPDS.2020.3014896,,inherited bibliography; not externally rechecked this session,02_references/papers/R40.pdf,research_files/fast-adaptive-task-offloading-meta-rl/fast-adaptive-task-offloading-meta-rl_원문.pdf,included; edition/content validation assigned to coauthor,,historical registry only; current availability not rechecked,미조사 — 2026-08 갱신에서는 코드 공개 여부를 검색하지 않음.,PENDING,,
