step,active_users,regime
379,500,general
380,300,general
381,100,sparse
382,1500,dense
383,1500,dense
384,300,general
385,100,sparse
386,100,sparse
387,100,sparse
388,1200,dense
389,1500,dense
390,100,sparse
391,1200,dense
392,300,general
393,500,general
394,800,general
395,1200,dense
396,1500,dense
397,100,sparse
398,300,general
399,300,general
400,300,general
401,1500,dense
402,1200,dense
403,300,general
404,1500,dense
405,500,general
406,800,general
407,500,general
408,100,sparse
409,1500,dense
410,100,sparse
411,300,general
412,300,general
413,300,general
414,100,sparse
415,100,sparse
416,1200,dense
417,1500,dense
418,100,sparse
419,300,general
420,800,general
421,1500,dense
422,1200,dense
423,1200,dense
424,800,general
425,500,general
426,300,general
427,1500,dense
428,1200,dense
429,100,sparse
430,1200,dense
431,100,sparse
432,1200,dense
433,1200,dense
434,100,sparse
435,500,general
436,100,sparse
437,800,general
438,1500,dense
439,100,sparse
440,500,general
441,1500,dense
442,300,general
443,100,sparse
444,500,general
445,800,general
446,800,general
447,300,general
448,1500,dense
449,800,general
450,300,general
451,1500,dense
452,1500,dense
453,500,general
454,100,sparse
455,800,general
456,800,general
457,100,sparse
458,800,general
459,1500,dense
460,100,sparse
461,1200,dense
462,100,sparse
463,1200,dense
464,500,general
465,100,sparse
466,1500,dense
467,100,sparse
468,800,general
469,300,general
470,1500,dense
471,1200,dense
472,1200,dense
473,500,general
474,500,general
475,800,general
476,1200,dense
477,1500,dense
478,100,sparse
479,800,general
480,100,sparse
481,300,general
482,1200,dense
483,300,general
484,1200,dense
485,500,general
486,300,general
487,500,general
488,800,general
489,1200,dense
490,800,general
491,1500,dense
492,1500,dense
493,1200,dense
494,800,general
495,300,general
496,500,general
497,100,sparse
498,500,general
499,1500,dense
500,500,general
